Date,SuperFamily,Familia,Codigo Producto,Projection,Sales
2022-01-01,Invierno,Vizon Anatolia,5605IMD180838,,70
2022-01-01,Invierno,Vizon Anatolia,5605IMD181027,,40
2022-01-01,Invierno,Vizon Anatolia,5605IMD181031,,51
2022-01-01,Invierno,Vizon Anatolia,5605IMD181323,,62
2022-01-01,Invierno,Vizon Anatolia,5605IMD181324,,63
2022-01-01,Invierno,Vizon Anatolia,5605IMD181327,,48
2022-01-01,Invierno,Vizon Anatolia,5605IMD181490,,63
2022-01-01,Invierno,Vizon Anatolia,5605IMD181617,,46
2022-02-01,Bebé,Baby Soft,1148AN1010003,,72
2022-02-01,Bebé,Baby Soft,1148AN1010014,,30
2022-02-01,Bebé,Baby Soft,1148AN1010024,,19
2022-02-01,Bebé,Baby Soft,1148AN1010026,,48
2022-02-01,Bebé,Baby Soft,1148AN1010034,,26
2022-02-01,Bebé,Baby Soft,1148AN1010039,,35
2022-02-01,Bebé,Baby Soft,1148AN1010041,,37
2022-02-01,Bebé,Baby Soft,1148AN1010050,,22
2022-02-01,Bebé,Baby Soft,1148AN1010081,,45
2022-02-01,Bebé,Baby Soft,1148AN1010229,,24
2022-02-01,Bebé,Baby Soft,1148AN1010439,,31
2022-02-01,Bebé,Baby Soft,1148AN1010730,,30
2022-02-01,Bebé,Baby Soft,1148AN1010734,,27
2022-02-01,Bebé,Baby Soft,1148AN1010812,,17
2022-02-01,Bebé,Baby Soft,1148AN1010831,,19
2022-02-01,Bebé,Baby Soft,1148AN1010875,,25
2022-02-01,Bebé,Baby Soft,1148AN1010888,,46
2022-02-01,Bebé,Baby Soft,1148AN1011102,,133
2022-02-01,Bebé,Baby Soft,1148AN1011302,,50
2022-02-01,Bebé,Baby Soft,1148AN1013401,,22
2022-02-01,Bebé,Baby Soft,1148AN1013602,,52
2022-02-01,Bebé,Baby Soft,1148AN1013902,,12
2022-02-01,Bebé,Baby Soft,1148AN1014204,,18
2022-02-01,Bebé,Baby Soft,1148AN1016402,,15
2022-02-01,Bebé,Baby Soft,1148AN1018902,,17
2022-02-01,Bebé,Bebe 100,5615IMD100208,,38
