Month,Familia,Product_Code,Forecast_Product,SuperFamily
2025-01,Super Economico 100 gr,1150AN0T10712,42.90209478629358,Invierno
2025-01,Super Economico 100 gr,1150AN0T10718,72.78031797410051,Invierno
2025-01,Super Economico 100 gr,1150AN0T10735,102.99042823024054,Invierno
2025-01,Super Economico 100 gr,1150AN0T10740,69.11278614678059,Invierno
2025-01,Super Economico 100 gr,1150AN0T10769,64.84378389237324,Invierno
2025-01,Super Economico 100 gr,1150AN0T10772,65.74598953300438,Invierno
2025-01,Super Economico 100 gr,1150AN0T10807,55.26578669289742,Invierno
2025-01,Super Economico 100 gr,1150AN0T10811,95.42891455424709,Invierno
2025-01,Super Economico 100 gr,1150AN0T10829,83.77692271475465,Invierno
2025-01,Super Economico 100 gr,1150AN0T10875,61.60878358732136,Invierno
2025-01,Super Economico 100 gr,1150AN0T11102,127.57283610385146,Invierno
2025-01,Super Economico 100 gr,1150AN0T11302,85.67718585690734,Invierno
2025-01,Super Economico 100 gr,1150AN0T12903,60.692200167556656,Invierno
2025-01,Super Economico 100 gr,1150AN0T13202,62.273755872248685,Invierno
2025-01,Super Economico 100 gr,1150AN0T13602,98.03488702220552,Invierno
2025-01,Super Economico 100 gr,1150AN0T13916,56.62328867275807,Invierno
2025-01,Super Economico 100 gr,1150AN0T14850,65.8262654665001,Invierno
2025-01,Super Economico 100 gr,1150AN0T15032,68.01048974654069,Invierno
2025-01,Super Economico 100 gr,1150AN0T16702,84.56290797405615,Invierno
2025-01,Super Economico 100 gr,1150AN0T16902,53.994551387838136,Invierno
2025-01,Super Economico 100 gr,1150AN0T17007,59.38262411814121,Invierno
2025-01,Super Economico 100 gr,1150AN0T18003,70.27738625659927,Invierno
2025-01,Super Economico 100 gr,1150AN0T18902,184.99888411156684,Invierno
2025-01,Super Económico 50g,1153AN0T50033,13.008894745222513,Invierno
2025-01,Super Económico 50g,1153AN0T50041,5.020241214136065,Invierno
2025-01,Super Económico 50g,1153AN0T50425,8.009022051525664,Invierno
2025-01,Super Económico 50g,1153AN0T50712,4.858491198883472,Invierno
2025-01,Super Económico 50g,1153AN0T50718,7.02114881022371,Invierno
2025-01,Super Económico 50g,1153AN0T50735,18.34364987790529,Invierno
2025-01,Super Económico 50g,1153AN0T50740,13.788889263218351,Invierno
2025-01,Super Económico 50g,1153AN0T50769,8.56676006708183,Invierno
2025-01,Super Económico 50g,1153AN0T50772,9.957211124123573,Invierno
2025-01,Super Económico 50g,1153AN0T50807,7.608241458177569,Invierno
2025-01,Super Económico 50g,1153AN0T50811,15.902422795852251,Invierno
2025-01,Super Económico 50g,1153AN0T50829,7.99823871717549,Invierno
2025-01,Super Económico 50g,1153AN0T50875,5.112498630243101,Invierno
2025-01,Super Económico 50g,1153AN0T51102,20.71897880559616,Invierno
