Product_Code,Stock,Month,Familia,Forecast_Product,SuperFamily,Total_Projection,Stock_After_Consumption,Fecha
5527IM6010229,113.5,2025-05,Cotton Premium,40.696255175803344,Verano,40.696255175803344,72.80374482419666,2025-01-01
5527IM6010229,113.5,2025-06,Cotton Premium,32.28941900016253,Verano,32.28941900016253,81.21058099983748,2025-01-01
5527IM6010229,113.5,2025-07,Cotton Premium,49.605996029167336,Verano,49.605996029167336,63.894003970832664,2025-01-01
5527IM6010229,113.5,2025-08,Cotton Premium,84.98126900321316,Verano,84.98126900321316,28.518730996786843,2025-01-01
5527IM6010229,113.5,2025-09,Cotton Premium,98.68050096262864,Verano,98.68050096262864,14.819499037371358,2025-01-01
5527IM6010229,113.5,2025-10,Cotton Premium,120.14002830539349,Verano,120.14002830539349,-6.640028305393486,2025-01-01
5527IM6010229,113.5,2025-11,Cotton Premium,93.97948521718357,Verano,93.97948521718357,19.520514782816434,2025-01-01
5527IM6010229,113.5,2025-12,Cotton Premium,66.84739146659437,Verano,66.84739146659437,46.652608533405626,2025-01-01
5527IM6010279,191.3,2025-01,Cotton Premium,22.98816385909456,Verano,22.98816385909456,168.31183614090546,2025-01-01
5527IM6010279,191.3,2025-02,Cotton Premium,16.92676580169781,Verano,16.92676580169781,174.3732341983022,2025-01-01
5527IM6010279,191.3,2025-03,Cotton Premium,19.583144581106165,Verano,19.583144581106165,171.71685541889386,2025-01-01
5527IM6010279,191.3,2025-04,Cotton Premium,17.366166203328472,Verano,17.366166203328472,173.93383379667154,2025-01-01
5527IM6010279,191.3,2025-05,Cotton Premium,18.121867693618213,Verano,18.121867693618213,173.1781323063818,2025-01-01
5527IM6010279,191.3,2025-06,Cotton Premium,14.378339640760244,Verano,14.378339640760244,176.92166035923978,2025-01-01
5527IM6010279,191.3,2025-07,Cotton Premium,22.089337040161105,Verano,22.089337040161105,169.2106629598389,2025-01-01
5527IM6010279,191.3,2025-08,Cotton Premium,37.84179420586227,Verano,37.84179420586227,153.45820579413774,2025-01-01
5527IM6010279,191.3,2025-09,Cotton Premium,43.94200337745008,Verano,43.94200337745008,147.35799662254993,2025-01-01
5527IM6010279,191.3,2025-10,Cotton Premium,53.497838763119326,Verano,53.497838763119326,137.8021612368807,2025-01-01
5527IM6010279,191.3,2025-11,Cotton Premium,41.848661250599456,Verano,41.848661250599456,149.45133874940055,2025-01-01
5527IM6010279,191.3,2025-12,Cotton Premium,29.766856399637103,Verano,29.766856399637103,161.5331436003629,2025-01-01
5527IM6010439,87.5,2025-01,Cotton Premium,38.98797143177542,Verano,38.98797143177542,48.51202856822458,2025-01-01
5527IM6010439,87.5,2025-02,Cotton Premium,28.70782832217644,Verano,28.70782832217644,58.79217167782356,2025-01-01
5527IM6010439,87.5,2025-03,Cotton Premium,33.21305199286009,Verano,33.21305199286009,54.28694800713991,2025-01-01
5527IM6010439,87.5,2025-04,Cotton Premium,29.45305227354954,Verano,29.45305227354954,58.046947726450455,2025-01-01
5527IM6010439,87.5,2025-05,Cotton Premium,30.73472349770476,Verano,30.73472349770476,56.76527650229524,2025-01-01
5527IM6010439,87.5,2025-06,Cotton Premium,24.385692506213253,Verano,24.385692506213253,63.11430749378675,2025-01-01
5527IM6010439,87.5,2025-07,Cotton Premium,37.46355936678889,Verano,37.46355936678889,50.03644063321111,2025-01-01
5527IM6010439,87.5,2025-08,Cotton Premium,64.17975791666355,Verano,64.17975791666355,23.320242083336453,2025-01-01
5527IM6010439,87.5,2025-09,Cotton Premium,74.52572475279379,Verano,74.52572475279379,12.974275247206208,2025-01-01
5527IM6010439,87.5,2025-10,Cotton Premium,90.73244049167732,Verano,90.73244049167732,-3.2324404916773233,2025-01-01
5527IM6010439,87.5,2025-11,Cotton Premium,70.97541235991011,Verano,70.97541235991011,16.52458764008989,2025-01-01
5527IM6010439,87.5,2025-12,Cotton Premium,50.48464740535062,Verano,50.48464740535062,37.01535259464938,2025-01-01
5527IM6010728,105.2,2025-01,Cotton Premium,26.485187424242124,Verano,26.485187424242124,78.71481257575788,2025-01-01
5527IM6010728,105.2,2025-02,Cotton Premium,19.50171259836653,Verano,19.50171259836653,85.69828740163348,2025-01-01
5527IM6010728,105.2,2025-03,Cotton Premium,22.56218712228446,Verano,22.56218712228446,82.63781287771555,2025-01-01
5527IM6010728,105.2,2025-04,Cotton Premium,20.00795581391032,Verano,20.00795581391032,85.19204418608967,2025-01-01
5527IM6010728,105.2,2025-05,Cotton Premium,20.87861672140096,Verano,20.87861672140096,84.32138327859904,2025-01-01
5527IM6010728,105.2,2025-06,Cotton Premium,16.565612746156248,Verano,16.565612746156248,88.63438725384376,2025-01-01
5527IM6010728,105.2,2025-07,Cotton Premium,25.4496285641564,Verano,25.4496285641564,79.7503714358436,2025-01-01
5527IM6010728,105.2,2025-08,Cotton Premium,43.59839342346404,Verano,43.59839342346404,61.601606576535964,2025-01-01
5527IM6010728,105.2,2025-09,Cotton Premium,50.626583418406405,Verano,50.626583418406405,54.5734165815936,2025-01-01
