Product_Code,Stock
1122PA1010902,0.0
1122PA1011100,0.0
1122PA1011102,0.0
1122PA1011302,0.0
1122PA1012302,0.0
1122PA1012903,0.0
1122PA1013202,0.0
1122PA1013602,0.0
1122PA1013916,0.0
1122PA1013917,0.0
1122PA1013937,0.0
1122PA1014502,0.0
1122PA1015202,0.0
1122PA1015204,0.0
1122PA1015302,0.0
1122PA1016202,0.0
1122PA1016890,0.0
1122PA1018003,0.0
1122PA1018902,0.0
1123AN1050001,1.6
1123AN1050002,0.0
1123AN1050003,0.0
1123AN1050004,0.0
1123AN1050005,0.0
1123AN1050006,1.25
1123AN1050007,0.0
1123AN1050008,0.0
1123AN1050009,0.0
